"Competitor","Brand","Type","Model","Price","Processor","RAM","Storage","Screen","Form Factor","Cosmetic Grade"
"SystemLiquidation","HP","Desktop","Z240","245","Intel Core i5-6500, 3.2GHz","16GB","256GB SSD","","Tower","Grade A"
"SystemLiquidation","Dell","Laptop","7490","245","Intel Core i5-8350U, 1.6GHz","16GB","256GB M2 SSD","","","Grade A"
"SystemLiquidation","Dell","Desktop","Precision 3620","249","Intel Core i7-6700, 3.4GHz","16GB RAM","512GB SSD","","Tower","Grade A"
"SystemLiquidation","Dell","Desktop","OptiPlex 7050","249","Intel Core i7-7700, 3.6GHz","16GB RAM","512GB SSD","","Micro","Grade A"
"SystemLiquidation","Lenovo","Desktop","ThinkCentre M720Q","249","Intel Core i5-9500T, 2.2GHz","16GB","256GB NVMe SSD","","Tiny","Grade A"
"SystemLiquidation","Lenovo","Desktop","ThinkCentre M715Q","249","AMD PRO-A10-7350B, 2.10 GHz","32GB","1TB SSD","","Tiny","Grade A"
"PCLiquidations","Dell","Desktop","OptiPlex 3070","249.99","Intel i5-9500T 2.2GHz","8GB DDR4","256GB 2.5" SATA SSD","","Micro","N/A"
"PCLiquidations","Dell","Desktop","OptiPlex 3070","249.99","Intel i5-9500T 2.2GHz","8GB DDR4","256GB 2.5" SATA SSD","","Micro","N/A"
"PCLiquidations","Dell","Desktop","OptiPlex 3070","249.99","Intel i5-9500T 2.2GHz","8GB DDR4","256GB 2.5" SATA SSD","","Micro","N/A"
"PCLiquidations","Dell","Desktop","OptiPlex 3070","249.99","Intel i5-9500T 2.2GHz","8GB DDR4","256GB 2.5" SATA SSD","","Micro","N/A"
"PCLiquidations","Dell","Desktop","OptiPlex 3070","249.99","Intel i5-9500T 2.2GHz","8GB DDR4","256GB 2.5" SATA SSD","","Micro","N/A"
"SystemLiquidation","Dell","Desktop","OptiPlex 7050","255","Intel Core i7-6700, 3.4GHz","32GB RAM","512GB SSD","","SFF","Grade A"
"SystemLiquidation","Lenovo","Desktop","ThinkCentre M900","255","Inter Core i7-6700, 3.4GHz","16GB","512 SSD","","Tower","Grade A"
"SystemLiquidation","Dell","Desktop","OptiPlex 7040","255","Intel Core i7-6700","32GB","512GB SSD","","SFF","Grade A"
"SystemLiquidation","Dell","Desktop","OptiPlex 5040","255","Intel Core i7-6700, 3.40GHz","16GB","256GB SSD","","Tower","Grade A"
"SystemLiquidation","Lenovo","Desktop","ThinkCentre M800","255","Intel Core i7-6700, 3.4GHz","16GB","512GB SSD","","SFF","Grade A"
"SystemLiquidation","HP","Desktop","EliteDesk 800 G3","255","Intel Core i5-6500, 3.2GHz","32GB","1TB SSD","","Mini","Grade A"
"SystemLiquidation","HP","Laptop","840 G5","255","Intel Core i7-8650U, 1.9GHz","16GB","256GB SSD","","","Grade A"
"PCLiquidations","Dell","Desktop","OptiPlex 3060","256.99","Intel i5-8400 2.8GHz","8GB DDR4","256GB SSD","","SFF","N/A"
"PCLiquidations","Dell","Desktop","OptiPlex 3060","256.99","Intel i5-8400 2.8GHz","8GB DDR4","256GB SSD","","SFF","N/A"
"PCLiquidations","Dell","Desktop","OptiPlex 3060","256.99","Intel i5-8400 2.8GHz","8GB DDR4","256GB SSD","","SFF","N/A"
"PCLiquidations","Dell","Desktop","OptiPlex 3060","256.99","Intel i5-8400 2.8GHz","8GB DDR4","256GB SSD","","SFF","N/A"
"PCLiquidations","Dell","Desktop","OptiPlex 3060","256.99","Intel i5-8400 2.8GHz","8GB DDR4","256GB SSD","","SFF","N/A"
"SystemLiquidation","Dell","Desktop","OptiPlex 7050","259","Intel core i7-6700T, 2.8GHz","16GB","256GB SSD","","Micro","Grade A"
"SystemLiquidation","Lenovo","Desktop","ThinkCentre M710","259","Intel Core i7-6700, 3.40GHz","32GB RAM","512GB SSD","","SFF","Grade A"
"SystemLiquidation","Lenovo","Desktop","ThinkCentre M910T","259","Intel Core i7-6700, 3.4GHz","16GB","512GB SSD","","Tower","Grade A"
"SystemLiquidation","Dell","Laptop","Latitude 7490","259","Intel Core i5-8350U","16GB","512GB SSD","","","Grade A"
"SystemLiquidation","Dell","Laptop","Latitude 5400","259","Intel Core i5-8265U, 1.60GHz","16GB","256GB SSD","","","Grade A"
"SystemLiquidation","Lenovo","Laptop","ThinkPad T490","265","Intel Core i5-8250U, 1.60GHz","8GB","256GB SSD","","","Grade A"
"SystemLiquidation","HP","Desktop","EliteDesk 800 G5 Mini","269","Intel Core i5-9500T, 2.2GHz","16GB RAM","256GB SSD","","Mini","Grade A"
"SystemLiquidation","Dell","Laptop","Latitude 5490","269","Intel core i5-8350U, 1.7GHz","8GB","256GB SSD","","","Grade A"
"DiscountPC","Dell","Laptop","Latitude 5495","269.99","Ryzen 5","","","","","N/A"
"SystemLiquidation","Dell","Desktop","OptiPlex 7050","275","Intel Core i7-6700T","16GB","512GB SSD","","Micro","Grade A"
"SystemLiquidation","Lenovo","Desktop","ThinkCentre M720Q","275","Intel Core i5-9500T, 2.2GHz","16GB","512GB NVMe SSD","","Tiny","Grade A"
"SystemLiquidation","HP","Laptop","Elitebook 840 G5","275","Intel Core i7-8650U","16GB","512GB SSD","","","Grade A"
"SystemLiquidation","Dell","Desktop","OptiPlex 7050","279","Intel Core i7-6700, 3.4GHz","32GB","1TB SSD","","SFF","Grade A"
"SystemLiquidation","Lenovo","Laptop","T490","279","Intel Core i5-8365U","16GB","256GB M2 SSD","","","Grade A"
"SystemLiquidation","Dell","Laptop","Latitude 5400","279","Intel Core i5-8365U","16GB","512GB SSD","","","Grade A"
"SystemLiquidation","Lenovo","Laptop","ThinkPad X1 Carbon G6","279","Intel Core i5-8350U, 1.70GHz","8GB","256GB SSD","","","Grade A"
"SystemLiquidation","HP","Desktop","ProDesk 600G4","285","Intel Core i5-8500, 3.0GHz","16GB","256GB SSD","","Tower","Grade A"
"SystemLiquidation","Dell","Desktop","OptiPlex 7050","285","Intel Core i7-6700, 3.4GHz","16GB","512GB SSD","","Tower","Grade A"
